EmployeeNo,Last_performance_score,No_of_previous_employers,Targets_met,Training_score_average,Trainings_Attended,Age_recurited,Years_in_company,Channel_of_Recruitment_Agency and others,Channel_of_Recruitment_Direct Internal process,Channel_of_Recruitment_Referral and Special candidates,Division_Business Finance Operations,Division_Commercial Sales and Marketing,Division_Customer Support and Field Operations,Division_Information Technology and Solution Support,Division_Information and Strategy,Division_People/HR Management,Division_Regulatory and Legal services,Division_Research and Innovation,Division_Sourcing and Purchasing,Foreign_schooled_No,Foreign_schooled_Yes,Gender_Female,Gender_Male,Marital_Status_Married,Marital_Status_Not_Sure,Marital_Status_Single,Previous_Award_0,Previous_Award_1,Previous_IntraDepartmental_Movement_No,Previous_IntraDepartmental_Movement_Yes,Qualification_First Degree or HND,"Qualification_MSc, MBA and PhD",Qualification_Non-University Education,Qualification_something_here,Past_Disciplinary_Action_No,Past_Disciplinary_Action_Yes,zone_NC,zone_NE,zone_NW,zone_SE,zone_SS,zone_SW
38312,YAK/S/00005,7.5,1,0,4.189654742026425,2,3.7376696182833684,1.0986122886681096,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
38313,YAK/S/00011,0.0,1,0,4.248495242049359,2,3.332204510175204,0.6931471805599453,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
38314,YAK/S/00015,7.5,1,0,4.343805421853684,2,3.367295829986474,2.0794415416798357,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
38315,YAK/S/00016,2.5,1,0,3.970291913552122,2,3.258096538021482,2.3978952727983707,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
38316,YAK/S/00017,7.5,0,1,4.248495242049359,2,3.4657359027997265,1.791759469228055,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
38317,YAK/S/00019,12.5,1,1,3.6635616461296463,2,3.2188758248682006,2.1972245773362196,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
38318,YAK/S/00027,12.5,1,1,4.110873864173311,2,3.258096538021482,1.6094379124341003,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
38319,YAK/S/00028,10.0,1,0,4.276666119016055,2,3.332204510175204,1.6094379124341003,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
38320,YAK/S/00031,12.5,1,1,4.174387269895637,2,3.258096538021482,2.3978952727983707,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
38321,YAK/S/00032,2.5,1,0,3.9889840465642745,3,3.1354942159291497,1.0986122886681096,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
38322,YAK/S/00034,10.0,0,0,3.9318256327243257,3,3.912023005428146,1.9459101490553132,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
